證券代號,市值佔 大盤比重,排行,證券名稱
6605,0.0343%,298,帝寶
6606,0.0054%,793,建德工業
6625,0.0077%,700,必應
6641,0.0033%,893,基士德-KY
6655,0.017%,462,科定
6666,0.007%,727,羅麗芬-KY
6668,0.0055%,785,中揚光
6669,0.582%,28,緯穎
6670,0.0496%,216,復盛應用
6671,0.0046%,833,三能-KY
6672,0.0111%,599,騰輝電子-KY
6674,0.0036%,884,鋐寶科技
6689,0.018%,449,伊雲谷
6691,0.0462%,236,洋基工程
6695,0.0068%,740,芯鼎
6698,0.0043%,843,旭暉應材
6706,0.0096%,647,惠特
6715,0.0139%,526,嘉基
6719,0.0373%,280,力智
6743,0.0157%,485,安普新
6753,0.024%,372,龍德造船
6754,0.0064%,756,匯僑設計
6756,0.0295%,327,威鋒電子
6768,0.0235%,376,志強-KY
6770,0.2278%,75,力積電
6776,0.0087%,671,展碁國際
6781,0.1104%,128,AES-KY
6782,0.0214%,405,視陽
6789,0.1361%,111,采鈺
6790,0.0191%,433,永豐實
6792,0.0082%,689,詠業
6796,0.0073%,711,晉弘
6799,0.0105%,622,來頡
6806,0.0422%,254,森崴能源
6807,0.0029%,911,峰源-KY
6830,0.0165%,466,汎銓
6834,0.0043%,845,天二科技
6835,0.0054%,792,圓裕
6854,0.022%,396,錼創科技-KY創
6861,0.0085%,678,睿生光電
6863,0.0218%,398,永道-KY
6869,0.0202%,420,雲豹能源-創
6873,0.0227%,387,泓德能源-創
8011,0.0049%,821,台通
8016,0.0494%,218,矽創
8021,0.009%,663,尖點
8028,0.0174%,456,昇陽半導體
8033,0.0164%,468,雷虎
8039,0.0164%,469,台虹
8046,0.2997%,58,南電
8070,0.0396%,267,長華*
8072,0.0041%,858,陞泰
8081,0.0328%,309,致新
8103,0.006%,770,瀚荃
8104,0.0055%,786,錸寶
8105,0.0134%,540,凌巨
8110,0.0141%,522,華東
8112,0.0387%,271,至上
8114,0.0159%,482,振樺電
8131,0.0335%,305,福懋科
8150,0.0486%,222,南茂
